Nome;Stand;País;Produtos;Site;Redes sociais;Atividade principal;Atividade secundária;Endereço
PALIRIA;Hall 4A - H058;Greece;Paliria Greek Originals Vegetarian Moussakas, Paliria Gigantes Beans, Paliria Greek Originals Tri-color Quinoa, Paliria Greek Originals Gemista, Paliria Vine Leaves in Brine, Paliria Greek Originals Black Eyed Beans, Paliria Eggplants, Paliria Classic Dolmas, Paliria Greek Originals Melitzanes, Paliria Greek Originals Spanakopita, Paliria Pulp of Roasted Eggplant, Paliria Greek Originals Cabbage Dolmas, Paliria Greek Originals Soutzoukakia, Paliria Greek Originals Spiral Fyllo Pie with 5 Cheeses, Paliria Greek Originals Chickpeas, Paliria Greek Originals Mini Fyllo Triangles with Spinach, Mizithra & Feta Cheese, Paliria Greek Originals Vegetarian Pastitsio, Paliria Flat Beans, Paliria Roasted Red Peppers in Brine, Paliria Greek Originals Tyropita, Paliria Greek Originals Mini Fyllo Spirals with Mizithra Cheese, Yoghurt, Honey & Feta Cheese, Paliria Greek Originals Bougatsa, Paliria Okras, Paliria Chickpeas, Paliria Greek Originals Dolmas, Paliria Greek Originals Giouvetsi, Paliria Greek Originals Mini Fyllo Spirals with Tomato & Olive Filling, Paliria Greek Originals Mini Fyllo Rolls with Potato & Graviera Cheese, Paliria Greek Originals Spanakopita , Paliria Sweet & Spicy Dolmas,  Paliria Greek Originals Lentils, Paliria Oriental Dolmas, Paliria Greek Originals Giant Beans, Paliria Greek Originals Pastitsio, Paliria Fava, Paliria Greek Originals Spiral Fyllo Pie with Mizithra Cheese, Yoghurt & Feta Cheese, Paliria Gigantes Beans Vinaigrette, Paliria Greek Originals Moussakas, Paliria Greek Originals Shrimp Kritharoto, Paliria Greek Originals Keftedakia;https://www.paliria.com/en/;LinkedIn (https://www.linkedin.com/company/paliria/), Facebook (https://www.facebook.com/PaliriaSA), Instagram (https://www.instagram.com/paliriaofficial/), YouTube (https://www.youtube.com/@paliria9741);Delicatessen, Ready to Eat;;2nd Km Psahna - Politika country Road, CHALKIDA, EVIA, 34400, .CHALKIDA, EVIA
PACHA INTERNATIONAL;Hall 7 - L355;Belgium;PACHA Drink Mango (https://pachadrink.com/pages/pacha-drink), PACHA Supreme Mazhar (https://pachadrink.com/pages/supreme), PACHA Supreme Zulu Punch (https://pachadrink.com/pages/supreme), PACHA Zero Lemon & Cactus (https://pachadrink.com/pages/regular-shop), PACHA Drink Strawberry (https://pachadrink.com/pages/pacha-drink), PACHA Zero Grapefruit Raspberry (https://pachadrink.com/pages/regular-shop), PACHA Drink Apple (https://pachadrink.com/pages/pacha-drink), PACHA Drink Yuzu Lemon (https://pachadrink.com/pages/pacha-drink), PACHA Zero Peach Cherry (https://pachadrink.com/pages/regular-shop), PACHA Drink Passionfruit (https://pachadrink.com/pages/pacha-drink), PACHA Drink Melon (https://pachadrink.com/pages/pacha-drink), PACHA Drink Peach (https://pachadrink.com/pages/pacha-drink), PACHA Zero Apple & Blackcurrant (https://pachadrink.com/pages/regular-shop), PACHA Drink Lychee (https://pachadrink.com/pages/pacha-drink), PACHA Drink Pomegranate (https://pachadrink.com/pages/pacha-drink), PACHA Zero Watermelon Strawberry (https://pachadrink.com/pages/regular-shop), PACHA Supreme Tropical (https://pachadrink.com/), PACHA Drink Passionfruit (https://pachadrink.com/pages/pacha-drink), PACHA Drink Mojito (https://pachadrink.com/pages/pacha-drink), PACHA Drink Cherry (https://pachadrink.com/pages/pacha-drink), PACHA Zero Pineapple & Mango (https://pachadrink.com/pages/regular-shop);https://pachadrink.com/;LinkedIn (https://www.linkedin.com/company/pachadrink/posts/?feedView=all), Instagram (https://www.instagram.com/pacha_drink/), TikTok (https://www.tiktok.com/@pachadrink__), YouTube (https://www.youtube.com/watch?v=wu3VA1rBghk);Non-alcoholic beverages;;Middelweg 126A, Middelweg 126A, BRUXELLES, 1130, .
CESAR NIETO GROUP, S.L.;Hall 6 - D150;Spain;CHORIZO BELLOTA IBÉRICO MONTANERA SELECTION, IBERICO FRENCH RACK, HAM CEBO CAMPO IBÉRICO 50% RACE IBERICA, HAM BELLOTA IBÉRICO 75% RACE IBERICA D.O.P., HAM BELLOTA 100% IBÉRICO D.O.P;https://www.cesarnieto.com/;LinkedIn (https://www.linkedin.com/company/cesar-nieto-group-s-l/?originalSubdomain=es), Facebook (https://www.facebook.com/ibericoscesarnieto/?locale=es_LA);Cured and Salted meat;Cured and salted meat, Meat and tripe, Frozen products;CALLE SIERRA VENTOSA, 22, GUIJUELO, 37770, CASTILLA Y LEÓN
PODER EJECUTIVO DEL ESTADO DE QUERETARO;Hall 2 - H028;Mexico;;;;Grocery products;;5 DE MAYO ESQ. PASTEUR SN, CENTRO, QUERETARO, 76000, QUERETARO
St Dalfour France;Hall 5B - K281;France;St. Dalfour Strawberry Spread;https://www.stdalfour.fr/;LinkedIn (https://linkedin.com/company/st-dalfour-usa-inc/), Instagram (https://www.instagram.com/stdalfourfruitspread/), YouTube (https://www.youtube.com/@St.Dalfour);Confectionery, biscuits and pastry;;36 chemin de Cazeaux, Zone Industrielle Chemin de Cazeaux, MARMANDE, 47200, .
PRO ECUADOR;Hall 4 - M50;Ecuador;Canned tuna, Quinoa, Avocadoes, Goldern Berries, Chocolate, Pineaple, Green Coffee, Shrimps, Dragon Fruit, Green Plantain, Taro , Mangoes, Cacao, Snacks, Sweet Passion Fruit ;https://www.proecuador.gob.ec/;LinkedIn (https://www.linkedin.com/company/pro-ecuador/), Facebook (https://www.facebook.com/proecuadorec/), Instagram (https://www.instagram.com/proecuador/), Twitter/X (https://x.com/ProEcuador_);Organizations, federations, institutions;Fruits and vegetables, Semi-finished food products and ingredients, Equipment, Technologies and Services, Seafood products, Non-alcoholic beverages, Confectionery, biscuits and pastry, Grocery products;Malecón Simón Bolivar 100, y 9 de Octubre, Edificio La Previsora (piso 18), GUAYAQUIL, 090306, .
EKOLO PRODUCTOS ECOLOGICOS S.A.;Hall 5A - G089;Spain;;;;Grocery products;;Camino San Andres 35-36, Arróniz, 31243
Brinkers Food B.V.;Hall 5B - K319;Netherlands;So Vegan So Fine almond chocolate spread, La Vida Vegan hazelnut chocolate spread, La Vida Vegan pistachio spread, La Vida Vegan white coconut spread, La Vida Vegan almond chocolate spread, La Vida Vegan hazelnut-cacoa duo, So Vegan So Fine hazelnut chocolate spread (less sugar), Chocolate Rhapsody Chocolate Almond, So Vegan So Fine almond-cacoa duo, So Vegan So Fine hazelnut white chocolate spread (less sugar), So Vegan So Fine chocolate spread, La Vida Vegan almond-cacoa duo, La Vida Vegan chocolate spread, So Vegan So Fine duo vegan spread, So Vegan So Fine chocolate almond spread (less sugar), La Vida Vegan duo vegan spread, So Vegan So Fine pistachio spread, Chocolate Symphony pistachio spread, La Vida Vegan white vegan spread, So Vegan So Fine dark chocolate spread, So Vegan So Fine walnut spread, So Vegan So Fine hazelnut spread, So Vegan So Fine pistachio-cacoa duo, La Vida Vegan almond chocolate spread (less sugar), Chocolate Rhapsody White Chocolate Pistachio, La Vida Vegan pistachio-cacoa duo, So Vegan So Fine white coconut spread, La Vida Vegan hazelnut white chocolate spread (less sugar), La Vida Vegan walnut spread, So Vegan So Fine white vegan spread, La Vida Vegan dark chocolate spread, So Vegan So Fine hazelnut-cacoa duo, Chocolate Rhapsody White Chocolate Hazelnut;https://www.brinkers.com/;LinkedIn (https://www.linkedin.com/company/brinkers-food-b-v-/?viewAsMember=true), Instagram (https://www.instagram.com/sovegansofinenl/);Confectionery, biscuits and pastry;;Marssteden 58, ENSCHEDE, 7547TD, .
PASTA D'ALBA;Hall 1 - E112;Italy;ORGANIC GLUTEN FREE BUCKWHEAT PENNE (https://www.pastadalba.it/), ORGANIC EGG PASTA TAJARIN (https://www.pastadalba.it/prodotto/tajarin-alluovo-bio), ORGANIC RED LENTILS FUSILLI GLUTEN FREE (https://www.pastadalba.it/prodotto/fusilli-di-lenticchie-rosse-bio-senza-glutine), ORGANIC DURUM WHEAT CASERECCE (https://www.pastadalba.it/prodotto/caserecce-di-grano-duro-bio), ORGANIC TURMERIC TAGLIOLINI (https://www.pastadalba.it/prodotto/tagliolini-curcuma-bio), ORGANIC GLUTEN FREE WHOLE RICE AND HULLED LEGUMES DINOSAURS (https://www.pastadalba.it/prodotto/filini-di-riso-e-carota-bio-senza-glutine);https://www.pastadalba.it/;LinkedIn (https://www.linkedin.com/company/pasta-dalba), Facebook (https://www.facebook.com/PastaDAlba), Instagram (https://www.instagram.com/pastadalba);Grocery products;Delicatessen, Ready to Eat, Healthy foods and diet products;VIA CAGNA 5, DIANO D'ALBA, 12055
EURO GIDA SAN VE TIC AS;Hall 5A - E032;Türkiye;;https://www.eurogida.com.tr/;LinkedIn (https://www.linkedin.com/company/euro-gida/posts/?feedView=all), Instagram (https://www.instagram.com/melisdunyasi/), YouTube (https://www.youtube.com/@MelisDunyasi);Grocery products;;Anadoluhisari, Körfez Cad. Setüstü Sok, No:2 Beykoz, ISTANBUL, 34810, .
SN Group;;Türkiye;;;;Non-alcoholic beverages;;Maliköy / Sincan, Başkent bulv. No 89, Maliköy / Sincan, Sincan, 06909, Ankara
GIELISSEN EXHIBITION & EVENT SERVICES B.V.;"Hall 2 - M062; Hall 2 - M086; Hall 5A - U106; Hall 6 - F233; Hall 7 - B198";Netherlands;;https://www.gielissen.com/;;Organizations, federations, institutions;;Freddy Van Riemsdijkweg 21, EINDHOVEN, 5657 EE, .
ACETIFICIO ANDREA MILANO;Hall 1 - G239;Italy;Balsamic Vinegar of Modena - Vinagrum, Cream with Balsamic Vinegar of Modena, Pearls with Balsamic vinegar of Modena, Organic Apple cider vinegar with the mother;https://www.acetomilano.it/;LinkedIn (https://www.linkedin.com/company/acetificio-andrea-milano-srl/posts/?feedView=all), Facebook (https://www.facebook.com/AcetificioAndreaMilano), Instagram (https://www.instagram.com/acetificioandreamilano/), YouTube (https://www.youtube.com/@acetificioandreamilano3089);Grocery products;;Viale 2 Giugno 115/N, Napoli, 80146
BEIJING YINQICHENG INTERNATIONAL EXHIBITION CO.LTD;"Hall 3 - G267; Hall 3 - G272; Hall 4 - R282; Hall 4 - R272; Hall 5A - L250; Hall 5B - K213; Hall 6 - A084; Hall 6A - M034; Hall 6A - H128; Hall 6A - R030; Hall 6A - R018; Hall 6A - N040; Hall 6A - K142; Hall 6A - K112; Hall 8 - P080; Hall 8 - S052";People's Republic of China;;;;Seafood products;;Room 401, Floor4, Unit2, No 28 Pingguoyan Road, Shijinshan District, BEIJING, 100041, .
Argenti Lemon;Hall 5C - H173;Argentina;;;;Non-alcoholic beverages;;RUTA PROV 302 KM 8, CEVIL POZO, T4178XAX, .
Beemster Cheese;Hall 7 - E147;Netherlands;;;;Dairy products, eggs;;Rijperweg 20, WESTBEEMSTER, 1464 MB, .
Green Distribution;Hall 5C - H064;Latvia;;;;Non-alcoholic beverages;;Uriekstes iela 2A - 13,, RIGA, LV-1005, .
MUNDI RISO S.R.L.;Hall 1 - G228;Italy;;;;Grocery products;;Via C. De Rossi, 14, VERCELLI, 13100, .
BIRRA PEJA SHA;Hall 5C - E207;Kosovo;Aquavita Water, Peja Beer Pilsner, GO+ Zero, GO+ Night, Fave Orange, Fave Blueberry, Peja Beer Crudo, GO+ Mystery, Birra Peja Zero, Peja Beer Lager, Peja Beer Helles, Birra Peja Chill, GO+ Day, Fave Ice Tea, Fave Multivitamin, Peja Beer Weizen;;LinkedIn (https://www.linkedin.com/company/birra-peja-jsc), Facebook (https://www.facebook.com/birrapejaofficial), Instagram (https://www.instagram.com/birrapejaofficial/);Other alcoholic beverages;;Nexhdet Basha 160, PEJE, 30000
PROCHILE;"Hall 8 - K028; Hall 8 - L028; Hall 8 - M028";Chile;;;;Fruits and vegetables;;DE EXPORTACIONES, Teatinos n°180, Piso 9, SANTIAGO, 8340650, .
Young Poong;Hall 4A - G073;South Korea;;;;Grocery products;;161 Seongseogongdanbuk-ro Dalseo-gu, Dalseo-Gu, DAEGU, 42709, .
Edita Food Industries;Hall 5A - M183;Egypt;;;;Confectionery, biscuits and pastry;;Edita Group building  - Plot 13, Central Pivot - El Sheikh Zayed, 6th of October City, GIZA, 12588, .
TEDESCO SRL;Hall 5B - N138;Italy;Panettone, Panettone in tin box (https://www.orelieteperugia.it/), Biscuits  (https://www.orelieteperugia.it/), Assorted biscuits in gift Tin box (https://www.orelieteperugia.it/), Panettone (https://www.orelieteperugia.it/);https://www.orelieteperugia.it/;;Confectionery, biscuits and pastry;;Via dell'Innovazione Tecnologica, 4, Pieranronio, 06019, PG
Enterprise Georgia;"Hall 8 - E076; Hall 4 - R130; Hall 5C - F081";Georgia;;https://www.tradewithgeorgia.com/;;Organizations, federations, institutions;;18 Uznadze Str, TBILISI, 0102, .
Dicofoods NV;Hall 5A - T149;Belgium;;;;Fruits and vegetables;;Tombrugstraat 8 B, ARDOOIE, B-8850, .
WONDERFOODS UNICORN S.L;Hall 6 - ST015;Spain;;;;Confectionery, biscuits and pastry;;María Diaz de Haro 68, PORTUGALETE, 48920, .
REIS;Hall 6A - G047;France;;;;Grocery products;;ZAC de la Berchère, N°9 -Route de la Berchère, ANDILLY, 95580, .
DOBLE D GROUP FOOD LTD.;Hall 5B - N421;Bulgaria;;;;Confectionery, biscuits and pastry;;6 Tsaritsa Yoanna Str., Pazardzhik, 4400
SAPIDUM D.O.O. - GLUTEN FREE;Hall 5B - R384;Slovenia;;;;Confectionery, biscuits and pastry;;Resljeva ulica 18, RESLJEVA ULICA 18, CELJE, 3000, .
Olio Guglielmi;Hall 1 - G48;Italy;;https://olioguglielmi.it/;LinkedIn (https://www.linkedin.com/company/olio-guglielmi/posts/?feedView=all), Facebook (https://www.facebook.com/guglielmidal1954/?locale=it_IT), Instagram (https://www.instagram.com/olioguglielmi/?hl=es-la), YouTube (https://www.youtube.com/watch?v=jL2l5DwVVQY);Grocery products;;Via Canosa, 443, ANDRIA (BAT), 76123, .
QUESOS CERRATO, SDAD. COOP.;Hall 7 - J321;Spain;;;;Dairy products, eggs;;AVENIDA PEDRO CABEZUDO, BALTANÁS, 34240, CASTILLA Y LEÓN
PACIFIC GROUP;;Spain;;;;Grocery products;;Calle Doctor Fleming, 33, ALACUÁS, 46970, .
DUNTOWER CORPORATION LIMITED;Hall 6 - L244;United Kingdom;;;;Meat and tripe;;Universal House 88-94 Wentworth street, LONDON, E17SA, .
AGROMAR INDUSTRIAL;Hall 5C - G188;Peru;Private label PET hot filled juices , Passion Fruit Juice and Concentrate, Lime Juice and Concentrate, IQF Organic Mango , Organic Ginger Juice, Organic Orange Juice (https://www.agromarindustrial.com.pe/EN/index.php), Organic Mango Puree and Concentrate;https://www.agromarindustrial.com.pe/;;Non-alcoholic beverages;;Av. Javier Prado Este 6210, Of 802, LIMA, 15024, Lima
GBS Impex;Hall 5B - J327;India;;;;Confectionery, biscuits and pastry;;C1- Mayur Kushal Complex, Abids, Hyderabad, 500001, Telangana
Creappetit;Hall 5A - K179;Netherlands;;https://www.creappetit.com/;LinkedIn (https://nl.linkedin.com/company/creappetit-b-v-);Confectionery, biscuits and pastry;Frozen products;Van Dijklaan 4, WAALRE, 5581 WG, Noord-Brabant
Jutrzenka Dobre Miasto Sp. z o.o.;Hall 5B - N189;Poland;;;;Confectionery, biscuits and pastry;;Ul. Jeziorańska 16, Dobre Miasto, 11-040
MASTER FRUITS;;Serbia;Frozen red fruits puree -  Master Fruits, Mango - Master Fruits, Frozen blackberries 300g, Frozen Plum - Master Fruits, Frozen berries - Master Fruits, Frozen raspberries 300g, Red fruit cocktail 300g, Frozen blueberries 300g, Strawberry - Master Fruits, Papaya -  Master Fruits, Pineapple - Master Fruits, Pitted morello cherry - Master Fruits;https://www.mffruits.com/;;Organizations, federations, institutions;Frozen products;Velikoremetska 6, Borca, 11211, Serbia
WIMFOOD A/S;Hall 6 - G209;Denmark;;;;Meat and tripe;;Vandmanden 22, AALBORG SV, 9200, .
SANTE Sp. z o.o;Hall 5B - P076;Poland;;;;Confectionery, biscuits and pastry;;ul. Jagiellonska 55A, WARSZAWA, 03-301, .
CSM GIAS;Hall 6A - G123;Tunisia;"Blend of butter and maragrine for croissant "" Mezij ""  (https://www.csmgias.com.tn/shop), Margarine for puff pastry & croissants Excellior (https://www.csmgias.com.tn/shop/details-product/9eda6e6b-9926-4ff5-87f8-af912cd1bbaf), Special Cream Margarine "" Délicieuse ""  (https://www.csmgias.com.tn/shop/details-product/9eda6e6b-9465-4f89-8de5-c9a883e73d2e), Feuille d'or puff pastry (https://www.csmgias.com.tn/shop/details-product/9eda6e6b-928a-4416-b93a-f31d51023b76), Margarine for croissant ""Feuille d'or ""  (https://www.csmgias.com.tn/shop/details-product/9eda6e6b-9394-437b-889e-0716908be5e5), Margarine for croissant (https://www.csmgias.com.tn/shop/details-product/9eda6e6b-8d7b-46c9-a3d9-09ffee188b32), Pastry ingredients Vanoise (https://www.csmgias.com.tn/shop), Compound chocolate  (https://www.csmgias.com.tn/shop), Goldina, Vanoise Bakery Ingredients (https://www.csmgias.com.tn/shop), CHOCOPING (https://www.gias-industries.com.tn/chocoping-2/), Juto (https://www.gias-industries.com.tn/jouto-2/)";https://www.csmgias.com.tn/;LinkedIn (https://www.linkedin.com/company/csm-gias), Facebook (https://www.facebook.com/share/1GRGdG9xtn/?mibextid=wwXIfr), Instagram (https://www.instagram.com/csm_gias?igsh=MWtmeDdnb3VrMzRmag==), TikTok (https://www.tiktok.com/@csm.gias?_r=1&_t=ZS-96IWnBQOOvd), YouTube (http://www.youtube.com/@CSMGIASS);Confectionery, biscuits and pastry;;ZI Bouargoub, ., ., Nabeul, 8040, info@csmgias.com.tn
HAMLET INTERNATIONAL;Hall 5B - J272;Belgium;;;;Confectionery, biscuits and pastry;;Kerkstraat(VRA) 77, Beveren, 9120
Semco Sp. z o.o. Sp. k.;Hall 2 - H046;Poland;;;;Healthy foods and diet products;;ul. Spacerowa 75, Śmiłowo, 64-500, Wielkopolska Region
DONG JYUE ENTERPRISE CO., LTD.;Hall 5C - F254;Taïwan;;;;Non-alcoholic beverages;;1F., No.10, Ln. 218, Jilin Rd.,, Taipei City, 104
THE SPICE FACTORY;Hall 5A - F189;Belgium;;;;Grocery products;;AVENUE DE L'INDUSTRIE 20, BRAINE-L'ALLEUD, 1420, .
MEDITERRANEAN SHIPPING COMPANY FRANCE;Hall 6 - K169;France;;https://msc.com/;LinkedIn (https://www.linkedin.com/company/msc-mediterranean-shipping-co--s-a-), Facebook (https://www.facebook.com/MSCCargo/), Instagram (https://www.instagram.com/msccargo/), Twitter/X (https://x.com/MSCCargo), YouTube (https://www.youtube.com/user/MSCCargo);Meat and tripe;Equipment, Technologies and Services;CHCI – 182 quai George V CS41339, LE HAVRE CEDEX, 76065, .
Ecovinal International Pvt Ltd;Hall 8 - A050;India;;;;Fruits and vegetables;;Plot No. 82-90, KIADB Industrial Area, KUNIGAL, 572130, .
U Jedrusia Sp. z o.o.;Hall 4A - G092;Poland;;https://u-jedrusia.pl/en/;LinkedIn (https://www.linkedin.com/company/u-jedrusia-sp-zoo/), Facebook (https://www.facebook.com/jedrusiowesmakolyki), Instagram (https://www.instagram.com/ujedrusia/), TikTok (https://www.tiktok.com/@ujedrusia);Delicatessen, Ready to Eat;;Przemeczanki 32, RADZIEMICE, 32-107, .
Tradizione Italiana Italian Food Tradition;"Hall 1 - E025; Hall 7 - E002";Italy;"Di Martino pasta, Coffee Beans - Barista Espresso Naples, Apple Cider Vinegar ""Mela Madre"", Sourdough Croissants, Peeled Tomatoes in thick sauce, Extra Virgin Olive Oil - Classic Organic, Pitted Sweet Castelvetrano Olives in water and salt, Fruit’n’shake, Buffalo Mozzarella from Campania DOP, Flour Tre Grazie ""Bio""";https://italianfoodtradition.com/;LinkedIn (https://www.linkedin.com/company/tradizione-italiana-_-italian-food-tradition/?viewAsMember=true);Organizations, federations, institutions;Grocery products, Frozen products, Confectionery, biscuits and pastry, Non-alcoholic beverages, Equipment, Technologies and Services, Dairy products, eggs;Viale Fulco Ruffo di Calabria, snc, di Calabria, C/O Aeroporto, Internazionale di Napoli Capodichino, NAPOLI, 80144, .
MIR-KAR Sp. z o.o. Sp.k.;Hall 6 - E156;Poland;;;;Meat and tripe;;Makowiska, ul. Radomszczanska 82, PAJECZNO, 98-330, .
BICKERY FOOD GROUP BV;Hall 6A - H022;Netherlands;;https://www.bickerybbq.com/;;Grocery products;Confectionery, biscuits and pastry;Stichtse Kade 46, 's Graveland, 1243 HW, .
HONG DA MA FOODS CO., LTD.;Hall 5C - G253;Taïwan;;;;Non-alcoholic beverages;;14F., No. 274, Sec. 1, Wenxin Rd.,, Nantun Dist.,, Taichung City, 408386
BISCUITERIE THIJS;Hall 5A - R108;Belgium;;https://belgianwaffles.be/;;Confectionery, biscuits and pastry;Frozen products;Het Park 1, Grobbendonk, 2288
POLARIS MEETINGS;"Hall 5A - T162; Hall 5A - U174";France;;https://www.polarismeetings.com/;LinkedIn (https://www.linkedin.com/company/polaris-meetings);Organizations, federations, institutions;Fruits and vegetables, Grocery products, Frozen products;1450 Chemin du Petit Enfer, COMINES, 59650, .
Mest Food;;Estonia;;;;Meat and tripe;;Lootsi 8, Tallinn, 1-207
